phase,exp,family,n_feat,graph,seed,val_auprc,val_auroc,val_dice
E_ablation,graph_identity,graphnet,,identity,8,0.4415311410063114,0.8370375299441043,0.4674319727891157
E_ablation,graph_identity,graphnet,,identity,9,0.45663339881415427,0.8398281541123236,0.4647108843537416
E_ablation,graph_weights,graphnet,,weights,0,0.5306624517426503,0.8822614453021028,0.5011054421768707
E_ablation,graph_weights,graphnet,,weights,1,0.537614551883738,0.8861042720255523,0.5168367346938776
E_ablation,graph_weights,graphnet,,weights,2,0.5258228880651258,0.8926628626563747,0.48316326530612247
E_ablation,graph_weights,graphnet,,weights,3,0.5357535910334363,0.8898597617780143,0.4700680272108843
E_ablation,graph_weights,graphnet,,weights,4,0.5330242883906057,0.8874559156241681,0.49013605442176866
E_ablation,graph_weights,graphnet,,weights,5,0.526672043834477,0.8999118312483364,0.49481292517006803
E_ablation,graph_weights,graphnet,,weights,6,0.532457426155993,0.8902881288261911,0.5183673469387755
E_ablation,graph_weights,graphnet,,weights,7,0.5482850531870808,0.8811884482299708,0.4960034013605442
E_ablation,graph_weights,graphnet,,weights,8,0.5262112609185946,0.8904212137343626,0.46598639455782315
E_ablation,graph_weights,graphnet,,weights,9,0.5137558183709026,0.8841662230503061,0.4719387755102041
E_capacity_sensitivity,"small (h=16, L=1)|real",graphnet,,real,0-3,0.5231421167204516,,
E_capacity_sensitivity,"small (h=16, L=1)|shuffled",graphnet,,shuffled,0-3,0.46102164835454584,,
E_capacity_sensitivity,"small (h=16, L=1)|identity",graphnet,,identity,0-3,0.4519488509662042,,
E_capacity_sensitivity,"frozen (h=64, L=2)|real",graphnet,,real,0-3,0.5381224628265416,,
E_capacity_sensitivity,"frozen (h=64, L=2)|shuffled",graphnet,,shuffled,0-3,0.46986054326680166,,
E_capacity_sensitivity,"frozen (h=64, L=2)|identity",graphnet,,identity,0-3,0.46002090109802984,,
E_capacity_sensitivity,"large (h=128, L=3)|real",graphnet,,real,0-3,0.5418245470138163,,
E_capacity_sensitivity,"large (h=128, L=3)|shuffled",graphnet,,shuffled,0-3,0.4698420096313801,,
E_capacity_sensitivity,"large (h=128, L=3)|identity",graphnet,,identity,0-3,0.45258691045629296,,
F_modality,A_only,graphnet,,real,0,0.4614540891413259,0.8577114386478573,0.45875850340136054
F_modality,A_only,graphnet,,real,1,0.47475512344581006,0.8665324727175938,0.4774659863945578
F_modality,A_only,graphnet,,real,2,0.46613491902544374,0.8533861791322864,0.475765306122449
F_modality,A_only,graphnet,,real,3,0.4784708396794845,0.8645237223848815,0.49056122448979594
F_modality,A_only,graphnet,,real,4,0.471355955809406,0.8577239153579984,0.49234693877551017
F_modality,B_only,graphnet,,real,0,0.4358620108162594,0.8554448363055629,0.3840986394557824
F_modality,B_only,graphnet,,real,1,0.4262863816232134,0.8448313148788926,0.3888605442176871
F_modality,B_only,graphnet,,real,2,0.42734965750286635,0.8486159169550173,0.3816326530612245
F_modality,B_only,graphnet,,real,3,0.44127036062591485,0.8511237356933723,0.41947278911564634
F_modality,B_only,graphnet,,real,4,0.43984792804243195,0.851023922012244,0.39566326530612245
F_modality,A_plus_B,graphnet,,real,0,0.5351315285264704,0.8895104138940645,0.5049319727891156
F_modality,A_plus_B,graphnet,,real,1,0.5543827589456759,0.898273223316476,0.4977891156462585
F_modality,A_plus_B,graphnet,,real,2,0.533164796052357,0.8912654711205749,0.47363945578231287
F_modality,A_plus_B,graphnet,,real,3,0.529810767781663,0.8904794383816874,0.507312925170068
F_modality,A_plus_B,graphnet,,real,4,0.548088712084389,0.8892276084642001,0.5150510204081632
F_modality_isolated,A_only (isolated),graphnet,,real,0-4,0.4231991468515673,0.8336105935586905,0.4601190476190476
F_modality_isolated,B_only (isolated),graphnet,,real,0-4,0.3958543400778371,0.8255464799041788,0.3625850340136054
F_modality_isolated,A_plus_B (isolated),graphnet,,real,0-4,0.5195925527038395,0.8787513308490816,0.459438775510204
G_missingB,S2_moddropout_r0.15,graphnet,,real,0-4,0.5512,,0.5329
G_missingB,S2_moddropout_r0.3,graphnet,,real,0-4,0.5551,,0.5401
G_missingB,S2_moddropout_r0.5,graphnet,,real,0-4,0.5545,,0.5349
I_fusion,model_alone,fusion,,real,ens,0.5550788269595573,0.9019954418418951,0.5400510204081633
I_fusion,simulation_alone,fusion,,real,ens,0.4371021461707463,0.7722147824061751,0.5547619047619048
I_fusion,naive_avg_raw,fusion,,real,ens,0.6886906143735627,0.9120932592494012,0.6786564625850341
I_fusion,naive_avg_rank,fusion,,real,ens,0.5709603336813408,0.8914817340963535,0.5185374149659864
I_fusion,FA_convex_weight,fusion,,real,ens,0.5794400038927721,0.896081481235028,0.5477040816326529
I_fusion,FB_confidence_aware,fusion,,real,ens,0.669516831945709,0.9221848383018365,0.6206632653061224
I_fusion,FC_oof_stacker,fusion,,real,ens,0.7199351375381506,0.9369343891402715,0.6811224489795918
